Name,Domain,Language,Modality,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Submission,#Model,#Scenario,#Benchmark,#metrics,Last update,Evalution harness
A-OKVQA,language+visual,English,text+image,no,no,no,yes,no,1,249,249,1,1,2,today,
AFQMC,language,Chinese,text,no,no,yes,no,no,1,2,2,1,1,1,today,
AgentBench,agent,English,text,yes,no,no,no,yes,1,25,25,8,3,1,11/7/2023,
AlpacaEval,language,English,text,yes,no,no,no,no,2,104,74,2,1,1,11/9/2023,
ANGO,language,Chinese,text,no,yes,no,no,no,3,57,19,13,1,6,9/27/2023,
aNLG,language,English,text,no,no,no,yes,no,1,8,8,1,1,6,today,
aNLI,language,English,text,no,no,no,yes,no,1,121,121,1,1,1,today,
APPS,programming,English,text+code,no,no,yes,no,no,1,12,12,3,1,4,today,
ARC,language,English+Chinese,text,no,no,yes,yes,no,3,96,,2,1,1,today,
ARC-DA,language,English,text,no,no,no,yes,no,1,6,6,1,1,6,today,
BIG-Bench,language,English,text,no,no,yes,no,no,126,295,,204,1,1,today,
BigCode,programming,English,text+code,no,yes,no,no,no,1,39,39,15,2,4,11/14/2023,bigcode
BoolQ,language,English,text,no,no,yes,no,no,2,44,,1,1,1,today,
BotChat,language,English,text,yes,yes,no,no,no,1,14,14,2,1,3,11/2/2023,
C-Eval,language,Chinese,text,yes,no,no,no,yes,2,105,105,5,1,1,today,
C3,language,Chinese,text,no,no,yes,no,no,3,3,,1,1,1,today,
CCBench,language+visual,Chinese,text+image,no,yes,no,no,yes,2,19,19,7,1,1,today,
CG-Eval,language,Chinese,text,no,no,no,no,yes,1,31,31,6,1,1,today,
Chatbot-Arena,language,English,text,no,yes,no,no,yes,1,49,49,3,3,3,11/22/2023,
CHID,language,Chinese,text,no,no,yes,no,no,4,5,,1,1,1,today,
CLiB,language,Chinese,text,yes,no,no,no,no,6,50,50,4,1,1,11/22/2023,
CMMLU,language,Chinese,text,yes,no,no,no,no,2,27,,5,1,1,11/13/2023,
CMNLI,language,Chinese,text,no,no,yes,no,no,1,2,2,1,1,1,today,
CommitmentBank,language,English,text,no,no,yes,no,no,1,13,13,1,1,2,today,
CommonSenseQA,language,English,text,no,no,yes,yes,no,1,273,273,1,1,1,today,
COPA,language,English,text,no,no,yes,no,no,2,22,22,1,1,1,today,
CosmosQA,language,English,text,no,no,no,yes,no,1,82,82,1,1,1,today,
CWQ,language,English,text,no,no,yes,no,no,1,5,5,1,1,3,today,
DocVQA,visual,English,text+image,no,no,yes,no,no,1,28,28,1,1,2,today,
DROP,language,English,text,no,no,yes,yes,no,3,56,,1,1,3,today,
DuReader,language,English,text,no,no,yes,no,no,3,3,1,1,1,1,today,
EPRSTMT,language,Chinese,text,no,no,yes,no,no,1,2,2,1,1,1,today,
EvalPlus,programming,English,text+code,yes,no,no,no,no,4,130,42,2,2,1,11/24/2023,evalplus
Flageval,language,English+Chinese,text,no,no,no,no,yes,2,35,35,12,14,1,11/13/2023,
Flickr30K,visual,English,text+image,no,no,yes,no,no,1,7,7,1,1,4,today,
FMTI,multi,English,multi,yes,no,no,no,yes,3,10,,101,1,1,10/18/2023,
GAIA,agent,English,multi,no,yes,no,no,no,1,5,3,3,1,1,11/21/2023,
GAOKAO-Bench,language,English+Chinese,text,yes,no,no,no,no,1,19,19,2,1,1,9/22/2023,
German LLM,language,German,text,no,no,yes,no,no,1,3,3,7,7,1,10/4/2023,
GQA,visual,English,text+image,no,no,yes,no,no,1,12,12,1,1,1,today,
GraphQ,language,English,text,no,no,yes,no,no,1,1,1,1,1,1,today,
GSM8K,math,English,text,no,no,yes,no,no,1,79,79,1,1,1,today,
HallusionBench,language,English,text,yes,no,yes,no,no,2,17,14,4,1,1,today,
HEIM,visual,English+Chinese+Hindi+Spanish,text+image,no,no,no,no,yes,96,,26,42,18,45,8/18/2023,heim
HellaSwag,language,English,text,no,no,yes,yes,yes,4,102,,4,1,1,today,
HELM,language,English,text,no,no,no,no,yes,306,,119,114,48,47,today,helm
HotpotQA,language,English,text,no,no,yes,no,no,1,4,4,1,1,1,today,
Open LLM Leaderboard,language,English,text,no,yes,no,no,no,1,2181,2181,7,7,3,today,lm-evaluation-harness
LLM-Perf Leaderboard,language,English,text,no,yes,no,no,no,1,781,781,1,1,9,today,
HumanEval,programming,English,text+code,yes,no,yes,no,no,5,67,,1,1,3,today,
InstructEval,language,English,text,yes,no,no,no,yes,3,94,,17,7,2,today,
InterCode,programming,English,text+code,yes,no,no,no,no,1,15,9,3,3,1,10/12/2023,
KQApro,language,English,text,no,no,yes,no,no,1,1,1,1,1,1,today,
LAiw,language,Chinese,text,no,yes,no,no,no,3,8,8,13,12,2,10/8/2023,
LAMBADA,language,English,text,no,no,yes,no,no,2,35,,1,1,2,today,
LAMM,language+visual,English,text+image,yes,no,no,no,no,3,23,11,6,9,5,11/6/2023,
LawBench,language,English,text,no,no,no,no,yes,2,102,51,20,1,7,11/13/2023,
LLM-Leaderboard,language,English,text,yes,yes,no,no,yes,1,52,52,14,7,3,8/25/2023,
LLM-EVAL,language,Chinese,text+code,yes,no,no,no,yes,4,72,18,11,1,4,11/18/2023,
LLMonitor,language,English,text,no,yes,no,no,yes,1,34,34,5,1,1,today,
LongBench,language,English+Chinese,text,yes,no,no,no,no,8,64,8,6,21,5,11/23/2023,
M3KE,language,Chinese,text,yes,no,no,no,no,2,26,13,4,1,1,7/20/2023,
MATH,math,English,text,no,no,yes,no,no,1,56,56,1,1,1,today,
MBPP,programming,English,text+code,no,no,yes,no,no,1,5,5,1,1,1,today,
MC-TACO,language,English,text,no,no,yes,yes,no,2,23,23,1,1,3,today,
MINT-Bench,agent,English,text+code,yes,no,no,no,no,2,35,26,6,1,3,11/1/2023,
MMBench,language+visual,English+Chinese,multi,no,yes,no,no,yes,8,102,32,6,1,1,today,
MMCU,language,Chinese,text,yes,no,no,no,no,3,21,7,4,27,1,5/15/2023,
MME,language+visual,English,text+image,yes,no,no,no,no,16,560,35,14,1,1,11/23/2023,
MMLU,language,English,text,yes,yes,yes,no,no,7,1253,,57,3,1,today,
MOCHA,language,English,text,no,no,no,yes,no,1,4,4,6,6,3,today,
MultiRC,language,English,text,no,no,yes,no,no,2,21,21,1,1,3,today,
NaturalInstructions,language,English,text,no,no,no,yes,no,1,11,11,2,1,2,today,
Natural Questions,language,English,text,no,no,yes,no,no,1,36,36,1,1,1,today,
NoCaps,visual,English,text+image,no,no,yes,no,no,8,306,,4,1,8,today,
OCNLI,language,Chinese,text,no,no,yes,no,no,5,7,,1,1,1,today,
OK-VQA,visual,English,text+image,no,no,yes,no,no,1,32,32,1,1,3,today,
Omnibenchmark,language+visual,English,text+image,no,no,yes,no,no,1,23,23,21,1,1,today,
Open LLM Leaderboard (Humans and GPT4 evaluations),language,English,text,no,yes,no,no,no,2,8,4,2,1,4,11/8/2023,
Open-Ko,language,Korean,text,no,yes,no,no,no,1,505,505,5,5,2,today,lm-evaluation-harness
Open Multilingual LLM Evaluation Leaderboard,language,31,text,no,yes,no,no,no,1,62,62,4,4,2,6/15/2023,
OpenbookQA,language,English,text,no,no,yes,yes,no,3,82,,1,1,1,today,
OpenCompass,language,English+Chinese,text,no,yes,no,no,yes,18,1632,96,10,10,7,today,opencomPass
OpenEval,lanaguage,Chinese,text,no,no,no,no,yes,4,28,7,4,24,1,today,openeval
OpenEval,language,English,text+code,yes,no,no,no,no,1,10,10,1,1,1,8/19/2023,
Pets37,visual,English,text+image,no,no,yes,no,no,1,15,15,1,1,2,today,
PIQA,language,English,text,no,no,yes,yes,no,3,73,,1,1,1,today,
ProtoQA,language,English,text,no,no,no,yes,no,1,189,189,1,1,7,today,
QuAC,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,
RACE,language,English,text,no,no,yes,no,no,2,23,23,2,1,1,today,
RAFT,language,English,text,no,no,yes,no,no,1,9,9,11,1,1,today,
ReCoRD,language,English,text,no,no,yes,no,no,1,30,30,1,1,2,today,
RefCOCO,visual,English,text+image,no,no,yes,no,no,1,13,13,3,1,1,today,
ReForm-Eval,language+visual,English,text+image,yes,no,no,no,no,1,16,16,2,1,2,11/17/2023,
RTE,language,English,text,no,no,yes,no,no,2,56,,1,1,1,today,
Safety-Prompts,language,Chinese,text,no,no,no,no,yes,2,20,15,16,1,1,3/26/2023,
SafetyBench,language,English+Chinese,text,no,no,no,no,yes,3,49,20,7,1,1,today,
ScienceQA,language+visual,English,text+image,yes,no,yes,no,no,2,30,,8,1,1,today,
SEED-Bench,language+visual,English,text+image,no,yes,no,no,no,1,36,34,12,1,1,11/21/2023,
Sherlock,language+visual,English,text+image,no,no,no,yes,no,1,96,96,1,1,6,today,
SIQA,language,English,text,no,no,yes,yes,no,2,127,,1,1,1,today,
Spider,programming,English,text+code,yes,no,yes,no,no,4,133,,2,1,2,today,
StrategyQA,language,English,text,no,no,yes,yes,no,2,189,189,1,1,3,today,
SuperCLUE,language,Chinese,text,yes,no,no,no,yes,14,287,21,10,1,1,10/25/2023,
SuperCLUE-Agent,agent,Chinese,text,yes,no,no,no,yes,5,85,17,10,1,1,11/8/2023,
SuperCLUE-Safety,language,Chinese,text,yes,no,no,no,yes,6,78,14,3,1,1,10/19/2023,
SuperGLUE,language,English,text,no,no,no,no,yes,1,33,33,10,10,5,today,
The Pile,language,English,text,no,no,yes,no,no,1,6,6,1,1,1,today,
LLM Benchmarker Suite,language,English,text,yes,no,no,no,yes,1,8,8,11,11,1,today,
TheoremQA,language,English,text,yes,no,yes,no,no,1,21,16,1,1,1,8/29/2023,
LLM Leaderboard,language,English,text,no,yes,no,no,yes,1,6,6,5,1,2,today,
Toolbench,agent,English,text,no,yes,no,no,no,1,44,44,9,1,1,11/13/2023,
TriviaQA,language,English,text,no,no,yes,no,no,2,40,40,1,1,3,today,
TruthfulQA,language,English,text,yes,no,yes,no,no,1,26,26,2,1,7,today,
TyDiQA,language,11,text,no,no,yes,no,no,2,13,,3,1,3,today,
Hallucination Leaderboard,language,English,text,yes,no,no,no,no,1,12,12,1,1,4,11/22/2023,
VisDial,visual,English,text+image,no,no,yes,no,no,1,2,2,3,1,1,today,
VQA,visual,English,text+image,no,no,yes,no,no,5,115,,1,1,1,today,
Whoops,visual,English,text+image,no,no,yes,no,no,4,23,,1,1,6,today,
WiC,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,
WikiEvents,language,English,text,no,no,yes,no,no,1,4,4,6,1,2,today,
WinoGrande,language,English,text,no,no,yes,yes,no,3,95,,5,1,2,today,
Winoground,visual,English,text+image,no,no,yes,no,no,1,8,8,3,1,1,today,
WQSP,language,English,text,no,no,yes,no,no,1,21,21,1,1,2,today,
WSC,language,English,text,no,no,yes,no,no,2,14,,1,1,1,today,
Xiezhi,language,English+Chinese,text,yes,no,no,no,no,1,106,47,12,1,1,today,
XNLI,language,15,text,no,no,yes,no,no,1,5,5,1,1,1,today,
XSUM,language,English,text,no,no,yes,yes,no,2,24,24,4,1,9,today,
SQuAD,language,English,text,no,no,yes,no,no,2,66,,1,1,5,today,
CoQA,language,English,text,no,no,yes,no,no,1,9,9,2,1,1,today,
KoLA,language,English,text,no,no,yes,no,no,18,174,19,4,19,3,10/31/2023,
QASC,language,English,text,no,no,no,yes,no,1,16,16,1,1,1,today,
MNLI,language,English,text,no,no,yes,no,no,2,49,49,2,1,1,today,
LogiQA,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,
SVAMP,language,English,text,no,no,yes,no,no,1,20,20,1,1,2,today,
VNHSGE,language,English,text,no,no,yes,no,no,9,19,3,1,1,1,today,
MATH 401,language,English,text,yes,no,no,no,no,2,49,,14,1,3,4/17/2023,
LaMDA,language,English,text,no,no,yes,no,no,1,33,33,1,1,2,today,
StereoSet,language,English,text,no,no,yes,no,no,1,11,11,1,1,3,today,
CrowS-Pairs,language,English,text,no,no,yes,no,no,1,4,4,9,1,1,today,
HalluQA,language,English,text,yes,no,no,no,no,1,19,19,3,1,1,today,
UHGEval,language,English,text,yes,no,no,no,no,3,33,11,7,1,14,today,
MM-Vet,language+visual,English,text+image,no,yes,yes,no,no,1,36,36,1,1,1,today,
MMMU,language+visual,English,text+image,yes,yes,no,no,no,2,34,15,6,1,1,11/30/2023,
Video-Bench,language+visual,English,text+video,no,yes,no,no,no,1,10,8,3,13,1,12/1/2023,
ActivityNet-QA,language+visual,English,text+video,no,no,yes,no,no,2,29,,1,1,1,today,
MSVD-QA,language+visual,English,text+video,no,no,yes,no,no,4,44,,1,1,2,today,
MSRVTT-QA,language+visual,English,text+video,no,no,yes,no,no,2,44,,1,1,2,today,
TGIF-QA,language+visual,English,text+video,no,no,yes,no,no,2,20,19,1,1,2,today,
YouCook2,language+visual,English,text+video,no,no,yes,no,no,2,25,,2,1,10,today,
TV-QA,language+visual,English,text+video,no,no,yes,no,no,1,6,6,1,1,1,today,
MVBench,language+visual,English,text+video,yes,no,no,no,no,21,235,14,20,,1,today,
STAR,language+visual,English,text+video,no,no,yes,no,yes,2,25,25,4,1,1,today,
MiT,language+visual,English,text+video,no,no,yes,no,yes,1,29,29,1,1,2,today,
FacTool,language,English,text,yes,no,no,no,no,1,5,5,4,5,2,today,
FActScore,language,English,text,yes,no,no,no,no,1,12,12,4,1,4,today,
CRASS,language,English,text,no,no,yes,no,no,1,4,4,1,1,1,today,
BEIR,language,English,text,no,no,yes,no,no,19,125,,9,18,5,today,
TREC-COVID,language,English,text,no,no,yes,no,no,1,6,6,1,1,1,today,
BioASQ-QA,language,English,text,no,no,yes,no,no,1,6,6,1,1,1,today,
CQADupStack,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,
Robust04,language,English,text,no,no,yes,no,no,1,21,21,1,1,3,today,
QQP,language,English,text,no,no,yes,no,no,1,19,19,1,1,1,today,
PromptBench,language,English,text,yes,no,no,no,no,7,32,6,3,13,1,today,
CoLA,language,English,text,no,no,yes,no,no,2,38,38,1,1,2,today,
MRPC,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,
QNLI,language,English,text,no,no,yes,no,no,2,38,38,1,1,1,today,
WNLI,language,English,text,no,no,yes,no,no,2,16,16,1,1,1,today,
L-Eval,language,English,text,yes,no,no,no,no,5,55,11,5,20,5,11/27/2023,
QuALITY,language,English,text,yes,no,no,no,no,1,14,13,2,1,2,11/14/2023,
LMExamQA,language,English,text,no,no,no,no,yes,1027,8032,8,1006,1,5,11/4/2023,
PubMedQA,language,English,text,yes,no,yes,no,no,2,45,,1,1,2,today,
FinanceIQ,language,English,text,yes,no,no,no,no,2,34,17,10,1,1,11/23/2023,
CLUE,language,English,text,no,no,yes,no,no,5,10,2,11,12,3,today,
CMRC2018,language,English,text,no,no,yes,no,no,3,3,1,1,1,1,today,
DRCD,language,English,text,no,no,yes,no,no,3,3,1,1,1,1,today,
FELM,language,English,text,yes,no,no,no,no,1,3,3,1,1,2,today,
LVLM-eHub,language+visual,English,text+video,no,no,no,no,yes,8,65,9,6,,2,8/20/2023,
ImageNet,language+visual,English,text+video,no,no,yes,no,no,8,1223,,1,1,4,today,
LogiQA,language,English,text,no,no,yes,no,no,1,2,2,1,1,1,today,